date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,nj flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu in nj,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,cold,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,fever,over the counter flu medicine,the flu symptoms,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,treatment for flu,exposed to flu,flu contagious,flu length,bronchitis,symptoms of bronchitis,what is the flu,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2015-05-01,6,0,0,0,0,0,0,2,6,0,0,0,0,0,1,38,2,0,0,0,5,3,1,0,3,5,2,2,0,0,3,0,21,44,0,6,0,1,0,0,0,0,0,0,0,22,0,0,5,0,10,15,0,0,0,0,24,1,0,54,0,5,0,3,4,0,0,0,62,0,6,22,0,0,0,5,9,0,1,3,1,1,0,0,31,11,16,9,0,6,0,0,0,0,55
2015-06-01,4,0,26,0,0,0,0,0,0,0,12,0,0,0,1,42,2,1,0,0,3,2,1,0,3,4,2,4,0,0,0,3,27,38,0,6,0,4,0,0,0,11,0,0,0,52,5,0,5,0,0,10,0,0,0,0,40,0,0,48,0,1,3,4,1,1,0,0,55,0,4,26,0,0,0,3,3,0,1,1,0,0,1,0,37,11,7,0,0,0,6,0,6,0,17
2015-07-01,4,0,0,0,0,0,0,2,2,12,36,0,0,0,2,36,1,0,0,0,2,0,0,0,1,2,3,2,0,0,0,3,15,35,0,6,0,1,0,0,0,0,0,0,0,30,11,0,5,0,0,10,0,0,0,16,16,0,0,45,0,2,1,7,1,0,0,0,60,0,2,18,4,0,0,3,3,0,1,1,0,0,1,0,38,13,0,9,9,6,0,0,6,0,46
2015-08-01,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,36,1,1,0,0,2,1,0,0,2,2,0,3,0,3,0,6,15,41,0,6,0,3,0,0,0,0,11,11,0,48,11,0,0,0,0,10,0,0,0,0,16,0,0,45,0,3,1,8,1,0,0,0,66,2,2,10,0,5,0,5,0,0,1,1,0,0,0,0,27,0,7,4,0,0,0,0,6,0,34
2015-09-01,12,0,0,0,0,0,0,0,8,0,0,0,0,0,7,44,2,1,0,0,7,2,0,0,4,6,3,5,0,6,0,3,13,34,6,6,0,23,0,0,0,11,11,0,0,31,0,0,5,0,10,10,0,0,0,0,30,0,0,47,0,3,4,31,1,0,0,0,52,0,6,21,2,2,0,9,10,0,1,2,0,0,1,0,35,11,21,8,4,0,31,0,0,0,30
2015-10-01,19,0,24,0,0,0,0,0,13,0,0,0,0,0,14,54,5,2,0,0,15,6,1,0,8,9,1,9,0,5,0,3,13,58,5,5,0,53,0,0,0,10,30,20,0,15,0,5,7,0,0,14,9,0,0,0,22,0,0,57,0,4,5,43,3,0,0,0,60,0,8,23,2,5,2,0,9,0,1,2,0,0,2,0,56,12,22,4,4,5,53,5,5,0,67
2015-11-01,13,0,0,0,0,0,0,2,6,22,11,0,0,0,7,56,5,1,0,0,10,2,1,0,7,5,1,9,0,4,0,3,25,38,5,5,5,30,0,0,0,0,10,20,0,35,5,0,0,0,9,14,0,0,0,0,30,0,0,56,1,5,4,22,1,0,0,0,56,2,9,11,2,5,0,4,11,0,2,3,0,0,4,0,55,18,14,8,4,8,14,0,5,0,70
2015-12-01,12,0,0,0,0,0,2,4,4,11,0,0,11,0,7,70,3,1,0,0,8,3,2,0,6,7,4,7,0,5,0,3,31,58,5,8,11,16,0,0,0,20,10,0,0,51,10,0,15,0,9,23,9,0,0,7,43,0,0,64,0,1,1,11,4,0,0,0,62,4,12,13,0,5,0,9,17,0,2,3,0,0,1,0,52,18,6,4,0,5,27,0,0,3,62
2016-01-01,12,0,39,0,20,2,2,2,4,9,9,0,9,0,7,75,4,2,0,0,9,5,2,0,7,9,2,9,0,2,4,2,36,57,0,13,4,13,0,0,0,8,17,17,0,41,10,0,4,8,8,15,15,0,0,24,30,1,0,73,1,4,3,8,2,0,0,0,72,2,13,24,3,4,2,4,16,0,2,3,0,1,2,0,64,13,10,10,5,4,11,4,13,2,76
2016-02-01,16,20,0,0,0,0,0,2,5,18,9,0,9,0,8,73,7,2,0,0,16,4,3,0,12,16,5,10,1,3,6,7,28,64,9,9,32,6,0,0,0,43,17,0,0,87,11,4,8,0,8,28,12,0,0,12,25,1,0,68,0,3,3,7,5,3,0,0,77,3,14,36,4,14,0,6,13,1,2,11,0,0,7,0,60,10,17,10,9,14,14,9,9,4,81
2016-03-01,21,19,19,19,19,0,3,4,11,17,35,0,26,1,12,74,13,1,0,1,18,5,2,0,22,17,4,8,2,2,5,2,63,66,4,23,34,5,0,0,0,48,48,24,0,84,14,0,8,0,15,48,15,0,0,12,64,1,0,59,1,9,3,8,7,3,0,0,90,2,20,32,3,18,2,7,25,2,3,22,1,2,15,1,77,13,22,5,6,13,8,4,8,6,62
2016-04-01,10,0,0,0,0,0,2,4,7,9,0,0,35,0,4,47,6,1,0,0,10,4,2,0,10,9,5,8,0,4,2,2,32,63,9,11,13,3,0,0,0,17,0,33,0,55,6,0,8,0,19,23,8,0,0,18,35,0,0,59,1,3,3,5,3,1,0,0,69,2,7,33,2,10,0,2,23,1,2,10,0,1,6,0,34,10,10,10,3,13,4,0,7,0,52
2016-05-01,9,0,18,18,0,0,0,1,4,0,0,0,0,0,3,41,3,1,0,0,7,1,1,0,4,7,3,4,1,2,0,2,25,60,4,8,4,1,0,0,0,0,8,23,0,46,4,4,8,0,14,18,7,0,0,11,56,0,0,55,0,5,4,4,2,0,0,0,59,0,8,20,3,0,0,4,5,0,1,3,0,0,1,0,40,6,6,8,6,4,0,0,0,0,57
2016-06-01,5,0,19,0,0,0,0,0,4,0,0,0,0,0,2,38,1,1,0,0,4,1,1,0,1,1,3,6,0,0,2,0,18,52,4,17,4,1,0,0,0,0,8,0,0,59,4,0,4,0,15,15,8,0,0,12,18,0,0,52,0,0,3,4,0,1,0,0,58,0,5,18,5,2,0,4,9,0,0,2,0,0,1,0,31,8,12,0,10,0,0,4,0,0,55
2016-07-01,3,0,0,0,0,0,0,2,5,9,0,0,0,0,2,40,1,0,0,0,2,2,0,0,1,4,1,1,0,5,0,2,29,29,9,4,0,2,0,0,0,17,0,8,0,37,0,0,0,0,0,8,0,0,0,18,18,0,0,53,0,2,1,3,1,0,0,0,65,0,4,14,2,0,0,4,9,0,1,0,0,0,1,0,23,7,3,0,3,9,0,0,0,0,54
2016-08-01,6,0,0,0,0,2,0,2,5,9,9,0,0,0,2,39,3,1,0,0,3,1,1,0,5,2,1,5,0,2,0,0,23,39,0,5,0,5,0,0,0,0,0,0,0,47,6,0,0,0,0,0,0,0,0,0,25,0,0,54,0,3,2,4,1,0,0,0,55,0,9,12,5,0,0,4,4,0,0,0,0,0,0,0,22,5,3,5,10,5,9,0,0,0,54
2016-09-01,12,0,20,0,0,0,0,0,6,9,9,0,0,0,8,80,3,2,0,0,6,3,1,0,5,4,2,10,0,3,0,0,21,29,0,7,0,32,0,0,0,17,25,8,0,35,0,0,4,0,11,15,0,0,0,12,30,0,0,54,0,1,1,17,1,0,0,0,56,0,7,26,2,4,2,6,6,0,1,2,0,0,0,0,37,5,8,7,3,0,29,0,4,0,77
2016-10-01,17,0,0,0,0,0,1,1,7,9,0,0,9,1,12,67,5,2,0,0,10,5,1,0,8,6,2,15,0,3,0,2,26,51,4,6,0,48,0,0,0,8,24,8,0,33,6,0,8,7,15,11,15,6,0,6,29,0,0,65,1,4,1,29,5,0,0,0,56,0,10,22,2,4,0,9,19,1,1,2,0,0,3,0,46,8,14,6,5,0,72,0,4,2,58
2016-11-01,13,0,0,0,19,0,0,1,5,26,0,0,9,0,7,64,5,2,0,0,7,4,1,0,7,9,3,9,0,4,0,0,30,58,13,4,4,28,0,0,0,31,16,31,0,35,6,0,8,0,7,18,11,0,0,6,17,0,0,62,0,2,0,12,3,0,0,0,51,0,7,19,2,4,0,4,12,1,1,2,0,1,2,0,54,8,11,3,5,4,50,0,4,0,42
2016-12-01,17,0,17,0,0,0,0,1,5,16,32,0,0,0,7,68,9,2,0,0,16,6,2,0,16,7,3,12,2,2,2,3,39,31,4,8,16,14,0,0,0,37,7,7,0,40,13,4,7,0,0,38,14,0,0,16,21,1,0,81,1,7,4,11,5,2,0,0,64,1,13,16,1,12,2,5,23,1,1,6,0,0,6,0,78,10,18,7,3,6,14,0,4,0,60
2017-01-01,26,17,51,0,17,0,3,3,12,8,16,0,24,1,12,85,16,5,0,0,22,8,2,0,27,19,5,27,0,7,3,2,47,50,10,13,21,13,0,0,0,14,7,7,0,64,7,4,20,0,13,40,13,5,0,5,58,2,1,73,2,13,3,19,8,3,0,1,76,1,22,28,8,15,5,7,38,2,3,18,1,2,14,0,80,9,33,17,16,17,6,0,17,0,58
2017-02-01,26,55,18,18,0,1,4,5,9,17,8,0,17,0,16,79,18,2,0,1,24,5,1,0,30,24,4,12,1,7,5,4,43,77,8,12,35,13,0,0,0,39,31,8,0,83,12,4,21,7,25,40,11,17,0,11,96,1,0,66,1,10,4,8,3,4,0,1,84,0,31,29,5,20,2,7,31,2,5,23,1,0,16,0,69,16,17,13,11,31,8,4,6,4,92
2017-03-01,14,0,16,16,0,0,1,2,7,0,0,0,14,0,4,58,8,2,0,0,12,5,2,0,13,15,2,13,1,6,2,3,44,57,7,7,9,4,0,0,0,7,7,33,0,51,7,3,13,0,6,21,18,0,0,10,34,1,0,65,1,7,3,5,6,1,0,0,70,0,15,26,1,4,0,4,19,0,3,10,1,0,8,0,60,9,12,3,3,11,4,4,11,0,50
2017-04-01,10,0,51,0,0,0,0,3,5,24,16,0,8,0,4,55,7,2,0,0,9,3,2,0,11,10,1,11,1,3,0,2,30,54,0,8,4,4,0,0,0,22,15,7,0,47,9,0,11,14,7,7,7,0,0,0,16,0,0,58,1,4,3,6,2,1,0,0,72,1,13,26,2,5,2,4,16,0,2,5,1,1,4,0,54,12,9,4,4,4,0,0,8,0,44
2017-05-01,6,0,0,17,0,0,0,2,3,0,8,8,0,0,1,40,2,1,0,0,5,1,2,0,4,5,1,8,0,2,0,4,22,54,6,6,0,2,0,0,0,7,0,7,0,34,7,3,3,0,6,16,6,0,0,20,36,1,0,61,0,1,2,3,1,1,0,0,68,1,4,19,1,2,0,3,12,0,1,2,0,0,1,0,40,11,13,0,3,4,4,0,4,0,53
2017-06-01,4,0,0,18,0,0,0,1,0,8,8,0,0,0,2,41,2,1,0,0,3,1,1,0,3,2,2,7,0,2,0,3,17,44,4,0,0,1,0,0,0,8,8,15,0,37,0,4,0,7,7,7,0,0,0,6,28,0,0,60,0,1,0,4,2,0,0,0,67,0,3,11,0,2,0,4,5,0,0,1,0,0,1,0,35,11,6,3,0,10,4,0,0,0,29
2017-07-01,4,0,0,0,0,0,0,1,4,8,17,0,0,0,2,42,1,1,0,0,3,2,1,0,2,3,1,4,0,2,0,4,16,37,0,4,4,2,0,0,0,8,15,8,0,34,4,0,0,0,0,7,7,0,0,6,22,0,0,49,0,1,1,3,1,0,0,0,61,0,6,13,2,2,0,4,5,0,0,0,0,0,1,0,26,11,3,3,3,0,0,4,0,0,44
2017-08-01,5,0,0,0,0,0,0,0,2,0,8,0,0,0,3,35,2,1,0,0,4,3,1,0,3,3,2,5,0,0,0,0,24,31,4,4,8,6,0,0,0,14,0,7,0,45,5,0,11,0,7,10,0,0,0,5,27,0,0,50,0,3,4,8,1,0,0,0,51,0,4,12,1,2,0,8,4,0,1,1,0,0,1,0,20,6,6,6,3,0,0,0,0,0,30
2017-09-01,13,0,0,0,0,1,1,1,11,8,8,0,24,0,8,45,3,2,0,0,8,4,2,0,5,5,3,11,0,3,0,2,15,33,4,6,4,30,0,0,0,7,0,15,0,55,11,0,11,0,14,14,7,0,0,27,27,0,0,55,0,2,2,29,0,1,0,0,63,0,5,19,3,5,0,2,6,1,1,2,0,0,1,0,34,15,10,6,6,4,16,4,4,2,63
2017-10-01,19,0,33,0,0,3,0,0,11,7,15,0,15,0,11,55,5,1,0,0,11,3,1,0,8,7,3,6,0,4,0,2,22,59,4,6,7,49,0,0,0,7,28,35,0,36,7,0,3,0,26,13,6,0,0,5,30,0,0,56,1,3,1,26,1,1,0,0,55,0,12,29,2,3,0,3,13,0,2,3,0,0,1,0,49,13,8,8,4,7,59,0,0,0,58
2017-11-01,16,17,17,0,0,0,3,1,8,8,23,0,0,0,6,74,3,2,0,0,10,5,2,0,6,7,2,9,0,4,2,4,35,35,4,11,11,33,0,0,0,14,7,7,0,43,9,0,17,0,6,20,6,0,0,0,21,1,0,70,1,3,2,23,3,1,0,0,57,1,8,24,3,2,3,5,16,1,1,3,0,1,6,0,59,14,13,4,6,9,32,7,7,0,82
2017-12-01,20,32,0,32,16,1,2,1,8,0,7,0,15,0,9,77,11,3,0,1,16,7,1,0,18,18,2,20,1,6,6,2,44,62,9,18,16,26,0,0,0,21,21,21,0,56,7,0,18,6,16,31,6,0,5,10,60,1,0,89,1,10,1,15,3,2,0,0,64,0,18,30,5,5,2,11,24,1,2,8,0,1,8,1,76,12,22,10,10,7,22,0,11,5,41
2018-01-01,77,15,61,76,45,5,3,8,56,35,49,21,56,1,44,100,40,5,0,0,71,25,3,0,66,75,4,32,3,19,7,2,81,56,17,67,67,44,55,0,1,32,97,19,0,67,44,6,46,24,80,65,30,5,14,19,37,1,1,93,2,27,6,40,15,8,0,1,90,3,63,26,11,40,8,11,63,4,8,62,1,1,30,0,100,18,79,66,22,45,31,14,24,8,59
2018-02-01,100,17,67,50,17,4,4,8,100,31,46,8,100,1,58,91,61,5,0,1,100,31,5,0,100,100,5,31,0,31,13,6,100,53,13,61,100,39,72,0,1,100,71,71,0,65,19,4,67,10,65,85,39,5,0,10,72,2,2,69,3,30,6,30,22,9,0,1,100,3,100,41,11,55,11,7,100,6,14,100,3,8,45,1,78,17,100,57,23,61,25,15,55,11,100
2018-03-01,18,0,15,0,0,0,2,3,27,14,0,7,7,0,9,55,12,2,0,0,18,5,3,0,20,19,3,11,0,3,3,2,34,59,5,24,10,5,11,0,0,19,26,6,0,44,9,0,19,0,24,18,6,0,0,23,23,0,1,56,0,9,2,6,3,3,0,1,64,0,21,21,2,10,1,5,15,1,4,18,1,1,10,1,54,10,27,8,4,27,5,0,3,2,58
2018-04-01,11,0,33,0,0,1,1,3,9,15,8,0,8,0,6,56,7,2,0,0,10,1,1,0,11,7,2,10,0,3,2,3,26,57,5,20,7,3,6,0,0,27,7,27,0,44,7,0,10,10,6,13,6,10,0,5,35,1,0,59,0,5,3,6,3,1,0,0,64,3,10,25,3,3,0,5,12,0,1,6,1,0,2,0,48,10,19,4,6,11,0,7,6,0,60
2018-05-01,7,0,0,0,0,0,2,1,10,14,14,0,0,0,4,49,4,1,0,0,6,2,2,0,6,3,2,6,1,2,0,5,19,43,3,5,3,3,1,0,0,19,6,6,0,43,3,0,0,0,6,9,6,5,0,9,33,0,0,58,0,2,1,5,2,1,0,0,73,0,7,18,1,2,0,4,13,0,1,2,1,0,1,0,52,6,7,8,3,5,3,0,0,2,54
2018-06-01,5,0,0,0,0,0,1,1,4,15,22,0,0,0,2,40,2,1,0,0,4,1,1,0,3,5,2,8,0,0,0,2,20,44,0,5,4,1,2,0,0,7,0,7,0,54,7,0,3,0,6,13,9,5,0,15,30,0,0,54,0,1,2,2,1,0,0,0,65,1,2,19,0,2,0,6,4,0,0,1,0,0,1,0,38,8,7,6,0,4,0,0,0,0,32
2018-07-01,4,0,0,0,0,1,0,0,4,8,30,0,0,0,3,43,1,0,0,0,4,1,1,0,1,2,1,2,0,2,0,4,30,55,4,4,0,1,1,0,0,14,21,7,0,56,3,0,0,6,6,16,0,0,0,5,35,0,0,57,0,0,1,4,1,0,0,0,54,0,2,19,1,3,0,3,9,0,1,2,0,0,1,0,24,14,4,0,3,0,0,0,7,0,30
2018-08-01,6,0,0,0,0,0,0,0,7,0,8,0,0,0,2,39,1,1,0,0,3,1,0,0,2,4,3,4,0,4,0,3,31,28,8,6,4,8,2,0,0,0,0,7,0,63,3,0,7,0,7,10,7,0,0,5,41,0,0,51,0,1,1,9,0,0,0,0,67,0,1,18,0,2,0,2,5,0,0,1,1,1,1,0,31,3,6,3,0,4,4,0,4,0,35
2018-09-01,17,0,16,0,0,0,0,1,20,0,8,0,8,0,12,49,5,2,0,0,11,3,0,0,9,2,6,11,0,4,0,0,27,61,0,9,4,38,13,0,0,7,21,28,0,65,0,0,9,0,6,6,6,0,0,10,45,0,0,55,0,4,3,29,2,0,0,0,58,0,6,29,3,3,0,5,14,0,1,2,1,0,1,0,53,8,14,6,6,4,30,0,4,0,66
2018-10-01,28,0,0,0,0,1,0,1,9,0,21,0,0,0,18,74,8,3,0,0,18,7,1,0,14,11,3,15,1,12,0,2,25,56,4,12,3,78,15,0,0,26,33,13,0,36,11,0,10,0,9,21,6,0,0,10,43,1,0,69,1,4,2,39,4,0,0,0,64,1,13,31,3,2,2,2,23,0,2,3,1,1,3,1,47,8,30,12,5,5,51,0,9,2,79
2018-11-01,20,0,0,0,0,0,1,1,6,15,7,0,0,0,8,79,3,2,0,0,13,3,1,0,6,9,2,11,0,7,2,3,26,54,4,5,5,46,8,0,0,7,27,14,0,37,7,0,15,0,9,13,6,0,0,0,15,1,0,73,1,4,4,22,2,1,0,0,68,0,6,19,4,6,2,6,17,1,1,5,0,1,1,0,56,12,29,11,8,4,40,4,7,4,62
2018-12-01,23,16,0,0,16,0,0,1,8,7,15,0,7,0,14,79,12,3,0,0,19,4,1,0,20,18,3,15,1,8,5,2,60,52,7,27,11,24,10,0,0,20,14,20,0,82,23,3,15,6,25,34,9,5,5,15,44,1,0,100,1,9,7,15,6,2,0,0,70,1,16,28,3,10,0,10,31,1,3,13,0,1,10,1,73,16,29,14,5,9,22,0,7,5,71
2019-01-01,33,15,46,46,15,2,2,3,18,35,14,14,35,0,23,94,26,3,0,0,32,9,2,0,43,20,2,20,1,3,8,3,65,60,17,34,31,23,4,0,0,33,26,39,0,64,11,3,22,12,30,33,18,19,9,9,66,1,0,95,2,14,7,18,10,4,0,0,76,3,25,33,7,20,3,11,53,2,5,30,1,3,15,0,98,18,29,29,14,24,12,0,21,2,72
2019-02-01,34,0,17,0,17,1,3,4,18,31,31,0,39,0,14,80,33,4,0,0,36,6,3,0,54,26,2,22,2,8,6,4,67,43,6,45,47,12,1,1,0,57,43,35,0,100,18,0,26,13,13,52,20,0,0,10,57,1,1,84,2,14,9,15,13,6,0,0,86,4,32,29,8,25,5,7,54,3,5,35,1,5,23,0,54,9,43,21,16,21,8,10,17,4,64
2019-03-01,21,31,62,0,0,1,2,4,15,28,14,0,28,0,10,72,18,3,0,0,23,6,1,0,30,18,1,15,0,2,5,2,53,62,3,19,36,8,0,0,1,45,32,19,0,67,16,3,6,0,15,21,6,0,0,14,43,1,1,68,1,12,3,6,9,4,0,1,74,1,20,23,6,20,2,6,32,2,3,23,1,1,9,1,52,8,29,12,12,16,0,3,14,3,52
2019-04-01,12,0,16,0,0,0,1,1,10,30,0,0,23,0,6,58,5,2,0,0,10,3,1,0,8,6,2,9,0,2,2,2,40,46,15,6,18,4,0,0,0,42,28,21,0,50,9,0,7,6,6,26,0,5,0,5,25,0,0,59,1,4,3,4,3,1,0,0,63,3,10,27,3,6,0,7,20,1,1,5,1,0,7,0,45,8,20,4,6,6,4,0,4,0,58
2019-05-01,7,16,0,0,0,0,0,0,6,0,7,0,0,0,3,50,3,1,0,0,6,1,1,0,5,4,1,6,0,4,2,2,25,52,3,10,3,2,0,0,0,13,7,20,0,50,7,6,3,0,18,21,6,0,0,10,10,0,0,59,1,4,2,7,2,1,0,0,70,0,5,22,1,2,0,4,15,0,1,3,1,0,2,1,39,15,8,3,3,4,4,4,0,0,61
2019-06-01,5,0,16,0,0,1,0,1,5,0,22,0,0,0,2,45,3,1,0,0,5,1,1,0,5,3,0,5,0,0,0,2,29,49,0,7,4,2,0,0,0,27,7,7,0,34,0,0,3,0,0,13,0,5,0,5,10,0,0,58,0,3,2,3,2,0,0,0,59,0,4,16,0,3,0,5,9,0,0,1,1,1,2,0,35,7,14,3,0,4,0,0,0,0,47
2019-07-01,4,0,0,0,16,0,1,1,2,0,22,0,0,0,3,41,3,1,0,0,2,1,0,0,6,3,1,6,0,0,0,0,24,40,0,7,0,2,0,0,0,7,7,7,0,47,0,0,3,0,0,13,0,5,0,0,15,0,0,53,0,2,1,3,1,0,0,0,62,0,1,19,0,0,0,3,8,0,1,1,0,0,0,0,25,3,5,0,0,7,0,0,0,0,28
2019-08-01,5,0,16,0,0,0,1,1,4,7,15,0,0,0,2,40,2,1,0,0,4,2,1,0,3,2,2,6,0,0,0,0,26,38,4,4,4,7,0,0,0,0,7,0,0,51,0,3,3,0,0,6,6,0,0,0,10,0,0,51,0,1,0,4,3,0,0,0,55,0,3,14,0,2,2,2,5,0,0,1,0,0,0,0,32,0,6,8,0,0,4,0,0,0,53
2019-09-01,16,16,16,16,0,0,0,1,12,14,14,0,0,0,8,56,5,2,0,0,10,2,1,0,8,5,1,11,0,5,2,0,25,49,0,5,3,37,0,0,0,7,20,13,0,39,7,0,10,0,9,18,0,0,0,5,29,0,0,59,0,3,1,29,1,1,0,0,60,1,4,21,7,3,2,2,11,0,1,2,0,1,2,0,35,7,16,3,13,4,21,4,0,0,44
2019-10-01,29,15,0,0,0,1,0,2,18,0,7,0,21,1,13,66,11,2,0,0,18,5,1,0,18,8,2,13,1,4,0,2,37,44,0,15,12,74,1,0,0,19,32,25,0,41,9,0,5,6,6,6,12,0,5,5,14,0,0,61,1,2,2,47,3,1,0,0,55,1,13,16,6,5,0,4,18,0,1,3,0,0,5,0,57,4,14,10,11,5,63,0,7,3,59
2019-11-01,21,0,15,15,0,1,1,2,8,14,7,7,0,0,10,71,11,2,0,0,17,5,1,0,18,11,1,12,0,6,2,3,34,55,0,14,17,40,0,0,0,39,46,13,0,50,10,0,13,0,12,18,12,0,0,0,43,1,0,75,1,6,1,26,5,1,0,0,61,3,14,28,5,7,0,8,23,1,1,4,0,0,5,1,73,13,20,5,9,10,42,4,9,0,75
2019-12-01,30,30,30,0,0,0,2,5,20,21,7,0,41,0,12,100,24,5,0,0,27,9,1,0,39,22,3,31,2,6,5,2,61,62,3,19,37,29,0,0,0,38,45,76,0,75,25,0,25,9,26,26,23,5,0,5,42,0,0,80,1,10,3,17,9,5,0,0,81,3,22,15,4,28,1,7,45,3,3,20,1,2,18,1,82,14,23,15,9,15,20,0,17,5,77
